,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
13251,454,jet,-0.776,0.225,111.17,21.23,15.0,0.0,0.17
13252,454,jet,0.957,1.055,109.78,18.05,21.0,1.0,0.5
13253,454,jet,-1.418,-1.885,94.63,20.16,12.0,0.0,1.03
13254,454,jet,1.844,2.029,81.03,21.53,13.0,0.0,0.88
13255,454,jet,1.362,-1.124,80.13,13.16,11.0,0.0,1.68
13256,454,jet,0.467,-1.245,74.99,14.14,22.0,1.0,2.01
13257,454,jet,-1.229,-0.378,57.98,9.42,12.0,0.0,2.3
13258,454,jet,0.381,2.643,56.41,9.31,10.0,0.0,0.0
13259,454,jet,1.986,-1.748,51.41,7.15,5.0,0.0,1.26
13260,454,jet,-1.123,-1.305,38.76,3.53,11.0,0.0,0.0
13261,454,jet,1.413,0.199,34.45,9.85,9.0,0.0,1.76
13262,454,jet,1.434,2.67,26.35,2.82,10.0,0.0,1.37
13263,454,MET,0.0,-2.442,201.56,0.0,0.0,0.0,0.0
13264,455,photon,0.221,-0.976,162.56,0.0,0.0,0.0,0.0
13265,455,photon,1.374,-2.806,158.94,0.0,0.0,0.0,0.0
13266,455,photon,-1.273,2.764,22.31,0.0,0.0,0.0,0.0
13267,455,tau,0.867,0.325,418.35,116.64,-1.0,0.0,4.81
13268,455,tau,0.45,-0.433,310.09,80.04,1.0,0.0,2.15
13269,455,tau,0.403,0.73,103.31,8.28,-1.0,0.0,0.76
13270,455,jet,-0.057,2.327,628.11,159.29,32.0,1.0,1.4
13271,455,jet,-0.26,0.593,529.64,137.05,26.0,1.0,1.19
13272,455,jet,0.36,-2.637,426.95,64.84,40.0,1.0,1.03
13273,455,jet,0.337,-2.105,424.24,51.55,26.0,0.0,0.35
13274,455,jet,-0.774,-0.472,370.7,72.19,20.0,0.0,0.86
13275,455,jet,0.574,1.301,316.35,75.64,26.0,0.0,0.85
13276,455,jet,-0.437,-2.564,306.18,79.46,25.0,1.0,0.83
13277,455,jet,-0.279,1.615,233.42,56.2,23.0,0.0,0.45
13278,455,jet,-0.26,0.036,175.28,32.68,25.0,0.0,0.57
13279,455,jet,0.762,2.163,135.35,27.82,19.0,0.0,2.2
13280,455,jet,0.683,2.836,125.39,22.75,17.0,0.0,0.52
13281,455,jet,1.135,-1.881,82.48,14.34,7.0,0.0,1.25
13282,455,jet,1.446,-0.731,56.84,10.8,12.0,0.0,0.78
13283,455,jet,-0.944,1.546,46.92,11.8,14.0,0.0,1.27
13284,455,jet,1.929,-2.561,39.19,2.47,5.0,0.0,0.0
13285,455,jet,1.773,-1.433,35.63,2.8,1.0,1.0,0.1
13286,455,jet,-1.256,-0.12,34.63,5.83,12.0,0.0,0.0
13287,455,jet,-1.853,2.571,33.53,6.76,7.0,0.0,0.91
13288,455,jet,1.525,0.589,28.45,3.55,8.0,0.0,0.0
13289,455,MET,0.0,2.395,201.13,0.0,0.0,0.0,0.0
13290,456,photon,0.106,1.421,219.03,0.0,0.0,0.0,0.0
13291,456,photon,0.902,-0.006,143.01,0.0,0.0,0.0,0.0
13292,456,photon,-1.026,0.412,133.66,0.0,0.0,0.0,0.0
13293,456,photon,-1.7,-0.921,21.82,0.0,0.0,0.0,0.0
13294,456,electron,0.576,0.351,90.61,0.0,-1.0,0.0,0.0
13295,456,muon,1.723,2.43,21.1,0.11,-1.0,11.0,21.13
13296,456,tau,0.988,-1.042,170.36,45.94,1.0,0.0,0.35
13297,456,tau,1.124,-1.831,108.82,21.56,1.0,0.0,0.26
13298,456,tau,0.309,-0.11,50.18,1.71,-1.0,0.0,0.0
13299,456,tau,1.64,-0.915,33.58,6.51,1.0,0.0,999.9
13300,456,jet,0.263,2.454,1089.91,303.19,56.0,0.0,0.48
13301,456,jet,0.163,-0.775,671.1,201.02,33.0,0.0,0.17
13302,456,jet,0.221,3.085,586.17,123.57,44.0,0.0,0.23
13303,456,jet,0.58,-2.28,475.19,133.38,32.0,0.0,0.75
13304,456,jet,-0.93,-1.075,434.81,113.38,20.0,0.0,0.42
13305,456,jet,-0.429,1.247,427.11,79.43,26.0,0.0,1.84
13306,456,jet,-0.689,-2.908,227.49,43.45,15.0,0.0,0.66
13307,456,jet,-0.328,2.047,219.84,25.46,19.0,0.0,0.11
13308,456,jet,0.105,-1.5,205.49,63.12,31.0,0.0,0.72
13309,456,jet,-0.477,-1.941,169.96,38.55,13.0,0.0,0.75
13310,456,jet,0.632,1.088,168.55,18.64,16.0,0.0,0.7
13311,456,jet,-0.18,0.049,157.36,38.97,28.0,1.0,1.28
13312,456,jet,1.281,0.952,128.85,24.31,18.0,1.0,0.25
13313,456,jet,-0.448,-0.551,108.64,14.82,30.0,0.0,2.15
13314,456,jet,-1.609,1.853,69.04,14.49,7.0,1.0,0.73
13315,456,jet,-1.229,-2.535,38.79,11.1,12.0,0.0,1.09
13316,456,jet,-1.65,-1.524,36.06,5.66,6.0,0.0,12.65
13317,456,jet,-0.973,1.954,35.71,5.33,9.0,1.0,0.49
13318,456,MET,0.0,-0.115,295.98,0.0,0.0,0.0,0.0
13319,457,photon,0.001,2.345,268.05,0.0,0.0,0.0,0.0
13320,457,tau,-1.319,0.085,86.34,23.4,1.0,0.0,1.16
13321,457,jet,-0.103,-2.047,809.03,215.89,19.0,0.0,0.03
13322,457,jet,-0.398,-0.732,420.55,106.26,16.0,1.0,0.56
13323,457,jet,0.203,1.216,399.82,115.92,28.0,1.0,0.58
13324,457,jet,0.48,-0.275,382.11,86.15,27.0,0.0,0.1
13325,457,jet,-0.461,3.11,377.49,43.55,30.0,0.0,11.81
13326,457,jet,-0.123,0.041,304.37,68.85,21.0,0.0,0.2
13327,457,jet,0.32,3.065,198.92,53.1,21.0,0.0,0.75
13328,457,jet,0.391,-1.239,185.63,50.36,19.0,1.0,0.39
13329,457,jet,-0.887,-2.112,156.58,10.97,3.0,0.0,0.0
13330,457,jet,1.231,0.312,153.6,39.26,11.0,0.0,1.5
13331,457,jet,1.337,-2.63,151.56,9.97,1.0,0.0,0.83
13332,457,jet,0.512,0.298,138.24,16.7,16.0,0.0,0.0
13333,457,jet,-0.88,1.46,130.66,26.32,20.0,0.0,0.24
13334,457,jet,-1.896,-0.351,114.73,18.85,14.0,0.0,7.72
13335,457,jet,-1.445,3.031,110.38,24.89,12.0,0.0,1.76
13336,457,jet,0.89,1.948,103.95,19.42,13.0,0.0,0.32
13337,457,jet,1.051,-1.583,98.71,15.74,11.0,0.0,999.9
13338,457,jet,-1.272,2.314,96.1,21.7,21.0,0.0,0.95
13339,457,jet,1.048,2.509,95.34,23.12,14.0,1.0,0.94
