,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
38235,5204,jet,0.549,-0.89,4364.68,132.04,42.0,0.0,0.39
38236,5204,jet,0.21,1.965,2142.14,101.43,14.0,1.0,1.08
38237,5204,jet,-0.429,2.092,32.98,7.39,10.0,0.0,0.0
38238,5204,MET,0.0,2.511,2349.01,0.0,0.0,0.0,0.0
38239,5205,jet,0.508,-1.176,2841.71,139.72,34.0,0.0,0.79
38240,5205,jet,-0.287,1.531,1759.01,40.93,22.0,0.0,1.39
38241,5205,jet,-0.203,2.803,1592.67,141.45,16.0,1.0,1.62
38242,5205,jet,-0.018,-1.768,246.2,15.98,5.0,0.0,0.63
38243,5205,jet,-0.259,0.218,198.23,23.34,14.0,0.0,5.62
38244,5205,jet,0.423,0.488,189.15,16.8,9.0,0.0,0.87
38245,5205,jet,-1.309,2.797,159.7,12.22,16.0,0.0,0.15
38246,5205,MET,0.0,1.08,445.7,0.0,0.0,0.0,0.0
38247,5206,jet,0.617,-2.835,2727.23,488.65,68.0,0.0,0.29
38248,5206,jet,-0.912,0.151,1434.98,111.34,38.0,1.0,0.45
38249,5206,jet,-1.553,0.625,940.7,51.71,10.0,0.0,0.41
38250,5206,jet,0.485,-2.391,351.31,27.91,52.0,0.0,1.86
38251,5206,jet,-0.1,0.773,306.06,58.75,39.0,0.0,1.28
38252,5206,jet,0.618,0.315,236.48,41.46,18.0,0.0,0.32
38253,5206,jet,-0.495,0.446,169.42,23.63,41.0,0.0,1.29
38254,5206,jet,0.969,-2.453,30.44,5.68,27.0,0.0,5.52
38255,5206,MET,0.0,-0.756,119.26,0.0,0.0,0.0,0.0
38256,5207,jet,0.681,-1.078,2150.46,164.91,22.0,0.0,5.37
38257,5207,jet,-1.279,1.616,1623.48,145.27,33.0,0.0,0.21
38258,5207,jet,0.545,2.831,1280.16,77.99,29.0,0.0,0.15
38259,5207,jet,2.075,-1.048,145.56,23.4,15.0,1.0,1.02
38260,5207,jet,0.989,2.795,36.12,3.26,30.0,0.0,0.0
38261,5207,MET,0.0,0.059,249.95,0.0,0.0,0.0,0.0
38262,5208,tau,0.955,-0.292,1473.47,110.15,1.0,0.0,0.42
38263,5208,jet,-0.651,-2.061,2184.37,65.08,30.0,0.0,0.11
38264,5208,jet,0.98,1.925,1296.01,38.83,11.0,0.0,0.0
38265,5208,jet,-0.195,1.72,1171.85,66.72,20.0,0.0,0.05
38266,5208,jet,-0.627,-2.822,888.42,70.85,18.0,0.0,0.18
38267,5208,jet,0.096,0.424,789.28,62.24,22.0,0.0,0.46
38268,5208,jet,0.393,1.026,132.12,14.87,14.0,0.0,1.53
38269,5208,jet,0.49,2.331,88.69,7.47,4.0,0.0,0.0
38270,5208,MET,0.0,-0.617,433.09,0.0,0.0,0.0,0.0
38271,5209,jet,1.507,2.617,1357.14,45.61,21.0,0.0,0.35
38272,5209,jet,-0.13,-0.301,570.11,42.81,14.0,0.0,1.13
38273,5209,jet,-3.599,-1.482,175.68,21.99,0.0,0.0,1.57
38274,5209,jet,0.4,-0.541,34.68,10.06,13.0,0.0,0.0
38275,5209,MET,0.0,-0.466,640.08,0.0,0.0,0.0,0.0
38276,5210,jet,0.974,-1.807,2022.06,90.63,12.0,0.0,12.5
38277,5210,jet,0.529,0.976,1571.58,156.97,21.0,0.0,0.02
